id,surface,prix
1,25,30700
2,26,31634
3,27,32568
4,28,33502
5,29,34436
6,30,35370
7,31,36304
8,32,37238
9,33,38172
10,34,39106
11,35,40040
12,36,40974
13,37,41908
14,38,42842
15,39,43776
16,40,44710
17,41,45644
18,42,46578
19,43,47512
20,44,48446
21,45,49380
22,46,50314
23,47,51248
24,48,52182
25,49,53116
26,50,54050
27,51,54984
28,52,55918
29,53,56852
30,54,57786
31,55,58720
32,56,59654
33,57,60588
34,58,61522
35,59,62456
36,60,63390
37,61,64324
38,62,65258
39,63,66192
40,64,67126
41,65,68060
42,66,68994
43,67,69928
44,68,70862
45,69,71796
46,70,72730
47,71,73664
48,72,74598
49,73,75532
50,74,76466
51,75,77400
52,76,78334
53,77,79268
54,78,80202
55,79,81136
56,80,82070
57,81,83004
58,82,83938
59,83,84872
60,84,85806
61,85,86740
62,86,87674
63,87,88608
64,88,89542
65,89,90476
66,90,91410
67,91,92344
68,92,93278
69,93,94212
70,94,95146
71,95,96080
72,96,97014
73,97,97948
74,98,98882
75,99,99816
76,100,100750
77,101,101684
78,102,102618
79,103,103552
80,104,104486
81,105,105420
82,106,106354
83,107,107288
84,108,108222
85,109,109156
86,110,110090
87,111,111024
88,112,111958
89,113,112892
90,114,113826
91,115,114760
92,116,115694
93,117,116628
94,118,117562
95,119,118496
96,120,119430
97,121,120364
98,122,121298
99,123,122232
100,124,123166
101,125,124100
102,126,125034
103,127,125968
104,128,126902
105,129,127836
106,130,128770
107,131,129704
108,132,130638
109,133,131572
110,134,132506
111,135,133440
112,136,134374
113,137,135308
114,138,136242
115,139,137176
116,140,138110
117,141,139044
118,142,139978
119,143,140912
120,144,141846
121,145,142780
122,146,143714
123,147,144648
124,148,145582
125,149,146516
126,150,147450
127,151,148384
128,152,149318
129,153,150252
130,154,151186
131,155,152120
132,156,153054
133,157,153988
134,158,154922
135,159,155856
136,160,156790
137,161,157724
138,162,158658
139,163,159592
140,164,160526
141,165,161460
142,166,162394
143,167,163328
144,168,164262
145,169,165196
146,170,166130
147,171,167064
148,172,167998
149,173,168932
150,174,169866
151,175,170800
152,176,171734
153,177,172668
154,178,173602
155,179,174536
156,180,175470
157,181,176404
158,182,177338
159,183,178272
160,184,179206
161,185,180140
162,186,181074
163,187,182008
164,188,182942
165,189,183876
166,190,184810
167,191,185744
168,192,186678
169,193,187612
170,194,188546
171,195,189480
172,196,190414
173,197,191348
174,198,192282
175,199,193216
176,200,194150
177,201,195084
178,202,196018
179,203,196952
180,204,197886
181,205,198820
182,206,199754
183,207,200688
184,208,201622
185,209,202556
186,210,203490
187,211,204424
188,212,205358
189,213,206292
190,214,207226
191,215,208160
192,216,209094
193,217,210028
194,218,210962
195,219,211896
196,220,212830
197,221,213764
198,222,214698
199,223,215632
200,224,216566
201,225,217500
202,226,218434
203,227,219368
204,228,220302
205,229,221236
206,230,222170
207,231,223104
208,232,224038
209,233,224972
210,234,225906
211,235,226840
212,236,227774
213,237,228708
214,238,229642
215,239,230576
216,240,231510
217,241,232444
218,242,233378
219,243,234312
220,244,235246
221,245,236180
222,246,237114
223,247,238048
224,248,238982
225,249,239916
226,250,240850
227,251,241784
228,252,242718
229,253,243652
230,254,244586
231,255,245520
232,256,246454
233,257,247388
234,258,248322
235,259,249256
236,260,250190
237,261,251124
238,262,252058
239,263,252992
240,264,253926
241,265,254860
242,266,255794
243,267,256728
244,268,257662
245,269,258596
246,270,259530
247,271,260464
248,272,261398
249,273,262332
250,274,263266
251,275,264200
252,276,265134
253,277,266068
254,278,267002
255,279,267936
256,280,268870
257,281,269804
258,282,270738
259,283,271672
260,284,272606
261,285,273540
262,286,274474
263,287,275408
264,288,276342
265,289,277276
266,290,278210
267,291,279144
268,292,280078
269,293,281012
270,294,281946
271,295,282880
272,296,283814
273,297,284748
274,298,285682
275,299,286616
276,300,287550
